strategy,cycle,green_road,green_duration_seconds,total_wait_this_cycle_seconds,A_before,B_before,C_before,A_wait_seconds,B_wait_seconds,C_wait_seconds,A_total_wait_seconds,B_total_wait_seconds,C_total_wait_seconds
adaptive,1,A,11,45,3,9,36,0,11,34,0,11,34
adaptive,2,B,25,90,6,10,37,65,0,25,65,11,59
adaptive,3,C,40,120,18,3,39,40,80,0,105,91,59
adaptive,4,A,40,101,38,8,2,0,40,61,105,131,120
adaptive,5,B,31,75,20,13,4,44,0,31,149,131,151
adaptive,6,C,17,74,36,4,6,17,57,0,166,188,151
adaptive,7,A,40,97,44,6,1,0,40,57,166,228,208
adaptive,8,B,27,67,20,11,4,40,0,27,206,228,235
adaptive,9,C,17,74,34,3,6,17,57,0,223,285,235
adaptive,10,A,40,95,42,5,1,0,40,55,223,325,290
adaptive,TOTAL,,,838,,,,,,,223,325,290
flat_30s,1,A,30,90,3,9,36,0,30,60,0,30,60
flat_30s,2,B,30,90,15,13,38,60,0,30,60,30,90
flat_30s,3,C,30,90,30,4,40,30,60,0,90,90,90
flat_30s,4,A,30,90,45,8,2,0,30,60,90,120,150
flat_30s,5,B,30,90,15,12,4,60,0,30,150,120,180
flat_30s,6,C,30,90,30,4,6,30,60,0,180,180,180
flat_30s,7,A,30,90,45,8,2,0,30,60,180,210,240
flat_30s,8,B,30,90,15,12,4,60,0,30,240,210,270
flat_30s,9,C,30,90,30,4,6,30,60,0,270,270,270
flat_30s,10,A,30,90,45,8,2,0,30,60,270,300,330
flat_30s,TOTAL,,,900,,,,,,,270,300,330
